1 40.878 41.395 1.0627 9.6525 0.2310
2 11.440 13.268 1.2686 7.3986 0.2962
3 5.5124 0.1003 0.2022 5.2566 0.3183
4 2.8551 0.4427 1.7697 4.1501 0.3819
5 2.4633 0.1412 1.7544 3.5635 0.3688
6 2.1398 0.0317 1.9398 3.1399 0.3583
7 1.9035 0.0043 2.2619 2.8400 0.3482
8 1.8035 -0.1029 0.6761 2.6039 0.3244
9 4.4452 29.653 0.6901 5.5130 0.2581
10 5.1785 39.584 0.7405 5.7240 0.2470
11 4.3112 19.394 0.6981 5.0458 0.2539
12 3.8227 14.001 0.6797 4.7287 0.2549
13 3.8809 13.420 0.6866 4.6739 0.2506
14 3.4108 9.6263 0.6827 4.3715 0.2550
15 2.8742 6.3302 0.6779 4.0086 0.2626
16 2.4395 4.2232 0.6750 3.6740 0.2707
17 2.1242 2.9843 0.6725 3.3994 0.2773
18 1.8963 2.2428 0.6691 3.1818 0.2821
19 2.5709 4.0673 0.7067 3.6467 0.2615
20 2.1091 2.4885 0.7326 3.2774 0.2764
21 1.8382 1.8290 0.7168 3.0469 0.2815
22 1.6569 1.4564 0.7006 2.8800 0.2842
23 1.5267 1.2281 0.6830 2.7557 0.2850
24 1.2780 0.8165 0.6507 2.4783 0.2927
25 1.3602 1.0057 0.6422 2.6026 0.2823
26 1.3086 0.9690 0.6203 2.5654 0.2792
27 1.2748 0.9753 0.5974 2.5548 0.2748
28 1.2568 1.0258 0.5753 2.5714 0.2693
29 1.1136 0.8685 0.5282 2.4317 0.2695
30 1.2723 1.2967 0.5380 2.6960 0.2552
31 1.5426 2.0748 0.5547 3.0430 0.2393
32 1.7034 2.5015 0.5692 3.1979 0.2324
33 1.7962 2.6806 0.5814 3.2649 0.2292
34 1.7945 2.5440 0.5913 3.2375 0.2295
35 1.7239 2.2223 0.5996 3.1466 0.2323
36 1.6218 1.8588 0.6071 3.0246 0.2364
37 3.2275 6.6088 0.6445 4.0640 0.2018
38 2.5377 3.9319 0.6563 3.6498 0.2150
39 2.0575 2.5016 0.6589 3.3026 0.2263
40 1.7775 1.7946 0.6630 3.0608 0.2347
41 1.5791 1.3588 0.6678 2.8673 0.2420
42 1.4287 1.0662 0.6727 2.7055 0.2482
43 1.2091 0.7074 0.6834 2.4424 0.2605
44 1.1287 0.5908 0.6884 2.3352 0.2651
45 1.0633 0.5044 0.6915 2.2439 0.2689
46 1.0102 0.4394 0.6921 2.1667 0.2717
47 0.9644 0.3887 0.6921 2.0988 0.2741
48 0.9834 0.4124 0.6813 2.1319 0.2699
49 1.0483 0.4948 0.6587 2.2341 0.2607
50 1.0811 0.5367 0.6463 2.2829 0.2555
51 1.1207 0.5906 0.6343 2.3406 0.2502
52 1.1568 0.6395 0.6250 2.3902 0.2457
53 1.1788 0.6679 0.6207 2.4189 0.2429
54 1.1859 0.6723 0.6192 2.4260 0.2415
55 2.6675 3.8795 0.5667 3.6830 0.1882
56 2.4590 3.1784 0.5810 3.5353 0.1935
57 2.0825 2.2149 0.5909 3.2648 0.2026
58 1.9646 2.0665 0.5747 3.2011 0.2025
59 1.8991 2.0272 0.5593 3.1752 0.2013
60 5.7069 -4.4807 0.0445 2.0158 0.0958
61 4.7160 -3.6434 0.0472 1.8830 0.1018
62 1.9100 2.4129 0.5209 3.2733 0.1927
63 1.9756 2.7329 0.5116 3.3596 0.1886
64 2.0675 3.1615 0.5048 3.4651 0.1843
65 2.1927 3.7411 0.5007 3.5924 0.1797
66 2.3524 4.4939 0.4989 3.7361 0.1751
67 2.5481 5.4568 0.4998 3.8932 0.1706
68 2.7706 6.6084 0.5026 4.0523 0.1665
69 3.0281 8.0113 0.5070 4.2161 0.1626
70 3.5968 12.385 0.5171 4.5873 0.1551
71 3.3291 9.9229 0.5153 4.4002 0.1584
72 2.9497 7.5192 0.5117 4.1643 0.1631
73 2.5073 5.3125 0.5071 3.8723 0.1695
74 2.1592 3.8373 0.5040 3.6063 0.1760
75 1.9041 2.8882 0.5026 3.3813 0.1819
76 2.1691 3.8474 0.5010 3.6090 0.1746
77 0.0297 0.2031 -0.2002 0.3543 0.3930
78 1.2728 1.1235 0.5013 2.6830 0.2041
79 -0.1392 0.3445 -0.1388 0.2235 0.3614
80 -0.1217 0.3229 -0.1476 0.2014 0.3780
81 -0.0768 0.2711 -0.1728 0.1647 0.4341
82 -0.0763 0.2694 -0.1750 0.1562 0.4366
83 -0.0702 0.2624 -0.1798 0.1488 0.4456
84 -0.0712 0.2625 -0.1809 0.1414 0.4469
85 -0.0732 0.2638 -0.1811 0.1359 0.4454
86 1.4297 1.2203 0.5313 2.7644 0.2004
87 52.470 -39.955 0.0481 4.3172 0.0384
88 3.4173 5.9999 0.5508 4.0237 0.1635
89 0.1538 0.1231 -0.3077 0.4941 0.3504
90 0.0872 0.1567 -0.2640 0.3621 0.3864
91 0.0184 0.1954 -0.2298 0.2262 0.4372
92 -0.0480 0.2417 -0.2002 0.1214 0.4769
93 -0.0719 0.2662 -0.1847 0.1198 0.4457
94 5.5119 -4.1559 0.0482 2.0596 0.0783
95 4.6253 -3.5213 0.0463 1.8487 0.0863
96 -0.1264 0.3340 -0.1500 0.1698 0.3550
97 3.3772 -2.4923 0.0509 1.6164 0.0989
98 3.0700 -2.2689 0.0504 1.5107 0.1049
99 2.7323 -1.9692 0.0543 1.4570 0.1093
100 1.2245 0.8824 0.4761 2.4648 0.2000
101 1.2193 0.8939 0.4675 2.4613 0.1988
102 1.2219 0.9252 0.4585 2.4717 0.1971
